epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,13249.2,0.80678,0.52814,1.18802,0.92822,0.94955,0.96289,0.82292,0.78655,0.40765,1.17379,0.0001436,0.0001436,0.0001436
74,13427.6,0.80782,0.51774,1.18202,0.92913,0.94406,0.96029,0.82258,0.78775,0.41107,1.1736,0.00013865,0.00013865,0.00013865
75,13604.6,0.79843,0.50841,1.17994,0.9555,0.91755,0.95912,0.82304,0.78553,0.41299,1.17136,0.0001337,0.0001337,0.0001337
76,13782.1,0.79159,0.51266,1.18099,0.95923,0.91663,0.95975,0.82188,0.78546,0.41412,1.17087,0.00012875,0.00012875,0.00012875
77,13960.8,0.79571,0.51059,1.1799,0.95828,0.91421,0.95963,0.82109,0.78491,0.41227,1.16919,0.0001238,0.0001238,0.0001238
78,14139,0.79282,0.50608,1.17864,0.9604,0.91399,0.95947,0.82233,0.78499,0.41272,1.16814,0.00011885,0.00011885,0.00011885
79,14316.5,0.78164,0.49853,1.17013,0.92803,0.94776,0.96142,0.82355,0.78515,0.41031,1.16676,0.0001139,0.0001139,0.0001139
80,14493.7,0.77742,0.50115,1.16698,0.92599,0.95598,0.96533,0.82441,0.78531,0.40892,1.16692,0.00010895,0.00010895,0.00010895
81,14672.6,0.77926,0.49948,1.16656,0.92701,0.9579,0.96632,0.82513,0.78367,0.40683,1.16472,0.000104,0.000104,0.000104
82,14852.8,0.77424,0.49468,1.17015,0.92237,0.95734,0.9652,0.82505,0.78394,0.40455,1.16473,9.905e-05,9.905e-05,9.905e-05
83,15030.8,0.76924,0.49275,1.16326,0.92974,0.95021,0.96505,0.82547,0.78435,0.40331,1.16393,9.41e-05,9.41e-05,9.41e-05
84,15210.5,0.7621,0.48847,1.1574,0.9384,0.94273,0.96519,0.8268,0.78227,0.4022,1.16155,8.915e-05,8.915e-05,8.915e-05
85,15391.8,0.76492,0.48462,1.15752,0.92265,0.9534,0.96414,0.82592,0.78301,0.40197,1.16275,8.42e-05,8.42e-05,8.42e-05
86,15574.9,0.76244,0.48151,1.16377,0.92897,0.94296,0.96237,0.82508,0.78202,0.40321,1.16251,7.925e-05,7.925e-05,7.925e-05
